FECHA;IGPA;CCU;SM.chile.b;Ripley;RETORNO.IGPA;RETORNO.CCU;RETORNO.SM;RETORNO.RIPLEY
8-28-15;14563,65;7521,4;187;230;2,38%;0,09%;0,00%;1,32%
8-21-15;14224,41;7514,6;187;227;-2,20%;-2,50%;-0,06%;-3,81%
8-14-15;14544,03;7707,1;187,11;236;-1,43%;0,49%;0,06%;1,72%
08-07-2015;14755,42;7669,4;187;232;-0,28%;9,65%;-0,09%;2,43%
7-31-15;14796,16;6994,7;187,17;226,5;0,70%;-2,14%;0,63%;-9,44%
7-24-15;14693,66;7148;186;250,11;-1,36%;-3,43%;0,00%;-4,53%
7-17-15;14895,54;7401,8;186;261,98;0,35%;3,80%;0,54%;2,60%
07-10-2015;14844,04;7130,9;185;255,35;0,74%;6,50%;0,56%;-4,39%
07-03-2015;14735,11;6695,7;183,97;267,07;-0,91%;-3,25%;-1,36%;0,94%
6-26-15;14870,33;6920,4;186,5;264,58;-0,50%;0,36%;-0,27%;0,99%
6-19-15;14945,77;6895,6;187;261,99;-1,59%;3,27%;0,21%;-4,44%
06-12-2015;15186,96;6677;186,61;274,16;-0,31%;-2,74%;-0,67%;-2,11%
06-05-2015;15234,81;6865,2;187,86;280,07;-1,70%;0,53%;-0,30%;-10,22%
5-29-15;15498,17;6828,8;188,42;311,95;-0,42%;0,59%;0,02%;-3,15%
5-22-15;15563,13;6788,9;188,39;322,1;-1,43%;-3,19%;1,75%;-2,06%
5-15-15;15788,8;7012,6;185,15;328,86;0,03%;6,16%;0,05%;-0,04%
05-08-2015;15784,79;6605,9;185,05;329;1,14%;-0,20%;-0,48%;1,22%
4-30-15;15607,15;6619,4;185,95;325,04;-0,66%;0,38%;0,03%;-1,05%
4-24-15;15710,17;6594,6;185,9;328,5;0,85%;-1,85%;-0,59%;1,39%
4-17-15;15577,79;6718,7;187;324;-0,39%;-0,09%;1,05%;3,12%
04-10-2015;15639,16;6724,6;185,05;314,2;1,54%;2,71%;0,57%;5,44%
04-02-2015;15402,61;6546,9;184;298;1,78%;5,16%;3,25%;-3,69%
3-27-15;15132,77;6225,4;178,2;309,42;-0,08%;3,25%;-2,41%;-1,77%
3-20-15;15144,56;6029,4;182,6;314,98;1,13%;2,92%;1,12%;4,47%
3-13-15;14975,52;5858,3;180,58;301,5;-2,51%;1,13%;0,70%;-4,51%
03-06-2015;15361,37;5792,9;179,32;315,75;-1,00%;-1,80%;0,15%;4,18%
2-27-15;15516,67;5899,2;179,05;303,09;-0,38%;3,34%;0,87%;-2,23%
2-20-15;15575,31;5708,7;177,5;310;0,37%;-1,29%;-1,52%;6,69%
2-13-15;15518,19;5783,5;180,24;290,56;0,74%;-1,22%;1,56%;-2,17%
02-06-2015;15404,43;5854,8;177,48;297;2,44%;-1,59%;0,07%;17,03%
1-30-15;15038,07;5949,4;177,35;253,79;-0,75%;-0,77%;-2,25%;-1,63%
1-23-15;15151,58;5995,6;181,43;258;2,81%;5,95%;3,09%;-2,64%
1-16-15;14737,27;5658,9;175,99;265;-1,29%;0,39%;-1,02%;-5,36%
01-09-2015;14930,47;5637;177,81;280;-1,48%;-1,81%;-1,11%;-4,76%
01-02-2015;15154,91;5740,7;179,8;294;0,74%;0,62%;-0,55%;0,00%
12-26-14;15044,16;5705,4;180,8;294;0,17%;1,30%;0,61%;0,13%
12-19-14;15018,74;5632,1;179,7;293,63;-0,06%;-2,50%;-1,26%;-4,54%
12-12-2014;15027,13;5776,3;182;307,61;-3,66%;-4,19%;-0,12%;-2,32%
12-05-2014;15597,76;6028,9;182,21;314,9;-0,62%;-3,54%;-1,51%;-4,58%
11-28-14;15695,78;6249,9;185;330;0,16%;-0,28%;-0,47%;3,13%
11-21-14;15670,77;6267,7;185,88;320;1,62%;0,63%;1,98%;1,19%
11-14-14;15421,53;6228,3;182,27;316,23;0,64%;0,14%;1,26%;0,71%
11-07-2014;15322,79;6219,5;180;314;0,77%;1,88%;3,38%;-0,38%
10-30-14;15206,4;6104,9;174,12;315,21;0,43%;1,03%;-0,72%;-1,50%
10-24-14;15141,47;6042,5;175,38;320;1,31%;0,41%;-0,36%;-0,62%
10-17-14;14946,05;6017,6;176,01;322;-1,62%;-4,44%;-2,22%;-3,88%
10-10-2014;15191,98;6297,2;180;335;-1,89%;-2,24%;-0,01%;3,46%
10-03-2014;15484,08;6441,4;180,02;323,8;-0,88%;0,24%;1,13%;-0,53%
9-26-14;15621,57;6425,7;178,01;325,51;-1,11%;-3,77%;-1,11%;-0,66%
9-17-14;15797,64;6677,1;180;327,68;0,83%;1,02%;1,02%;2,40%
09-12-2014;15668;6609,8;178,19;320;-1,69%;0,49%;0,67%;-2,75%
09-05-2014;15937,04;6577,6;177;329,06;1,53%;3,51%;-2,21%;4,80%
8-29-14;15697,32;6354,6;181;314;0,96%;-0,71%;2,45%;-1,07%
8-22-14;15547,72;6400;176,68;317,39;-0,08%;0,03%;-0,74%;-3,72%
8-14-14;15559,61;6398,4;178;329,67;1,22%;1,82%;0,56%;2,07%
08-08-2014;15372,68;6283,8;177;323;-0,26%;-2,78%;1,32%;-5,93%
08-01-2014;15413,31;6463,4;174,7;343,36;-0,23%;1,63%;-1,85%;-0,84%
7-25-14;15449,49;6359,7;178;346,28;-0,58%;-0,03%;-2,20%;-1,90%
7-18-14;15539,46;6361,4;182;353;-0,74%;0,75%;1,40%;-1,91%
07-11-2014;15655,7;6314,2;179,48;359,87;2,06%;-1,51%;1,69%;1,39%
07-04-2014;15339,8;6410,8;176,5;354,94;0,14%;-0,72%;-1,12%;-3,02%
6-27-14;15317,71;6457,2;178,5;366,01;-0,04%;-2,49%;-0,39%;-0,71%
6-20-14;15323,95;6621,9;179,2;368,64;0,08%;2,40%;0,11%;-1,04%
6-13-14;15311,16;6466,6;179;372,52;-1,65%;-0,25%;-0,55%;1,54%
06-06-2014;15568,42;6482,9;179,99;366,88;0,50%;0,37%;-0,30%;-4,51%
5-30-14;15490,99;6458,8;180,53;384,21;-1,26%;-0,79%;0,29%;6,71%
5-23-14;15687,91;6510,5;180;360,04;-0,45%;0,16%;-0,27%;-1,31%
5-16-14;15758,57;6500;180,49;364,81;0,78%;0,01%;0,27%;1,28%
05-09-2014;15636,17;6499,1;180;360,19;-0,95%;-2,24%;3,83%;-1,86%
05-02-2014;15785,69;6647,7;173,36;367;2,15%;1,94%;0,21%;-1,22%
4-25-14;15453,94;6521,5;173;371,52;-1,47%;2,45%;-0,87%;-1,45%
4-17-14;15684,53;6365,6;174,51;377;0,62%;3,91%;0,62%;0,69%
04-11-2014;15587,67;6126,1;173,43;374,43;2,20%;3,48%;1,42%;-0,68%
04-04-2014;15251,77;5920;171;377;0,16%;-6,93%;0,81%;13,55%
3-28-14;15227,21;6360,6;169,62;332;2,29%;1,50%;-3,90%;1,66%
3-21-14;14885,66;6266,3;176,51;326,59;0,77%;1,21%;-0,23%;0,44%
3-14-14;14772,1;6191,6;176,91;325,15;-2,12%;-1,88%;2,25%;-4,65%
03-07-2014;15091,73;6310;173,02;341;-0,46%;1,86%;0,01%;-0,29%
2-28-14;15160,99;6194,5;173;342;2,26%;3,56%;-2,26%;0,88%
2-21-14;14825,88;5981,7;177;339,03;-0,92%;2,31%;2,44%;-1,44%
2-14-14;14963,05;5846,9;172,79;344;4,34%;1,83%;0,46%;12,79%
02-07-2014;14340,72;5741,8;172;305;1,33%;-2,68%;1,12%;-3,94%
1-31-14;14153,12;5899,8;170,1;317,5;-3,97%;-2,07%;-5,24%;-11,42%
1-24-14;14738,51;6024,3;179,5;358,45;-2,49%;0,43%;-3,23%;2,51%
1-17-14;15114,46;5998,4;185,5;349,67;1,85%;-1,93%;-0,14%;-7,73%
01-10-2014;14840,07;6116,6;185,76;378,97;-1,75%;-2,91%;3,20%;0,95%
01-03-2014;15103,94;6300;180;375,4;0,15%;3,28%;-1,10%;-2,73%
12-27-13;15081,69;6100;182;385,95;0,02%;-0,88%;0,37%;2,26%
12-20-13;15079,26;6154,3;181,33;377,42;0,69%;-0,43%;0,43%;-4,35%
12-13-13;14976,63;6181,1;180,55;394,6;-1,20%;-0,47%;-3,19%;-3,04%
12-06-2013;15157,98;6210;186,49;406,99;-1,99%;-4,44%;0,53%;1,88%
11-29-13;15465,53;6498,6;185,5;399,47;0,94%;4,65%;1,36%;-4,09%
11-22-13;15321,23;6210;183,01;416,5;-1,51%;-3,47%;-0,99%;-1,82%
11-15-13;15555,41;6433;184,84;424,23;-1,29%;-5,52%;-3,54%;-3,58%
11-08-2013;15758,86;6808,6;191,63;439,99;-1,64%;7,73%;1,46%;-1,90%
10-30-13;16021,06;6320;188,88;448,49;0,74%;-8,21%;1,57%;0,81%
10-25-13;15903,72;6885,6;185,96;444,9;0,71%;2,01%;-1,87%;-1,13%
10-18-13;15791,18;6750;189,5;450;0,45%;-1,16%;0,80%;-2,17%
10-11-2013;15720,81;6829;188;460;-0,01%;-0,30%;1,19%;-0,48%
10-04-2013;15722,7;6849,7;185,78;462,21;-0,81%;2,05%;-1,70%;1,20%
9-27-13;15850,52;6711,8;189;456,72;1,17%;0,36%;0,90%;1,49%
9-17-13;15667,55;6688;187,31;450;0,70%;2,89%;0,43%;2,74%
9-13-13;15557,96;6500;186,5;438;-0,09%;-4,27%;4,95%;2,82%
09-06-2013;15571,36;6790;177,7;425,97;3,89%;2,08%;2,72%;1,54%
8-30-13;14987,99;6651,4;173;419,5;-0,90%;-1,76%;-0,61%;2,29%
8-23-13;15123,54;6770,8;174,07;410,11;-1,55%;-9,47%;-5,40%;-2,82%
8-16-13;15362,31;7479,2;184;422;-1,14%;2,02%;-1,06%;7,12%
08-09-2013;15540,15;7331;185,97;393,94;-0,81%;3,47%;-1,08%;-4,06%
08-02-2013;15667,83;7085;188;410,6;-0,73%;-1,32%;4,16%;-1,06%
7-26-13;15783,66;7180;180,5;415;-1,04%;-1,33%;-1,37%;0,24%
7-19-13;15948,78;7277;183;414;2,71%;1,13%;4,57%;6,10%
07-12-2013;15527,95;7196;175;390,21;-2,17%;2,10%;0,00%;-8,19%
07-05-2013;15872,91;7048;175;425;-4,24%;-2,16%;-2,23%;-4,38%
6-28-13;16575,54;7203,3;178,99;444,46;3,65%;8,25%;2,28%;0,99%
6-21-13;15992,52;6654,3;175;440,1;-3,41%;-1,85%;-0,06%;-5,53%
6-14-13;16557,23;6779,4;175,11;465,87;-2,74%;0,35%;-3,25%;-1,92%
06-07-2013;17023,45;6755,8;181;475;-1,42%;-0,03%;-0,76%;-1,06%
5-31-13;17269,21;6757,6;182,39;480,08;-0,14%;-7,09%;-3,95%;-0,81%
5-24-13;17293,63;7273,3;189,9;484,01;-1,21%;-7,35%;0,08%;-3,20%
5-17-13;17504,87;7850,4;189,75;500;-1,54%;1,17%;3,10%;-2,91%
05-10-2013;17777,98;7759,3;184,05;515,01;-0,92%;-5,25%;-4,78%;4,31%
05-03-2013;17942,25;8189,6;193,28;493,74;1,06%;5,36%;5,55%;-1,25%
4-26-13;17754,52;7773;183,11;500;-0,56%;2,23%;0,50%;-0,72%
4-19-13;17854,99;7603,4;182,2;503,64;-0,78%;1,04%;-1,02%;-6,00%
04-12-2013;17994,62;7524,8;184,08;535,8;1,09%;-1,25%;0,59%;2,06%
04-05-2013;17801,19;7620;183;525;-3,03%;-3,36%;-5,43%;-3,40%
3-28-13;18356,7;7885;193,5;543,5;-0,44%;1,69%;1,31%;3,52%
3-22-13;18437,71;7753,7;191;525;0,51%;2,67%;-4,02%;0,13%
3-15-13;18344,86;7552,1;199;524,34;-2,20%;-1,67%;-0,82%;0,50%
03-08-2013;18758,09;7680,1;200,64;521,74;-0,74%;1,59%;0,27%;-0,72%
03-01-2013;18898,86;7560;200,1;525,54;0,61%;0,12%;1,06%;1,12%
2-22-13;18785,18;7551,2;198;519,74;-0,84%;0,02%;-2,01%;-3,07%
2-15-13;18943,71;7549,9;202,07;536,22;0,25%;1,32%;4,70%;0,23%
02-08-2013;18897,36;7451,7;193;534,98;0,28%;-2,25%;1,05%;4,49%
02-01-2013;18845,15;7623,4;191;512;1,16%;0,91%;1,29%;7,34%
1-25-13;18629,85;7554,8;188,56;477;-0,34%;-0,09%;0,83%;-3,59%
